fecha_desde,fecha_hasta,lugar,categoria,precio,fuente_pdf,tipo_tabla
,,col_4,col_4,203.0,del-08-11-21-al-12-11-21.pdf,general
,,col_7,col_7,195.0,del-08-11-21-al-12-11-21.pdf,general
,,col_10,col_10,200.0,del-08-11-21-al-12-11-21.pdf,general
,,col_13,col_13,198.0,del-08-11-21-al-12-11-21.pdf,general
,,col_16,col_16,200.0,del-08-11-21-al-12-11-21.pdf,general
,,col_19,col_19,202.0,del-08-11-21-al-12-11-21.pdf,general
,,col_22,col_22,218.0,del-08-11-21-al-12-11-21.pdf,general
,,col_4,col_4,190.0,del-08-11-21-al-12-11-21.pdf,general
,,col_7,col_7,185.0,del-08-11-21-al-12-11-21.pdf,general
,,col_10,col_10,185.0,del-08-11-21-al-12-11-21.pdf,general
,,col_13,col_13,183.0,del-08-11-21-al-12-11-21.pdf,general
,,col_16,col_16,194.0,del-08-11-21-al-12-11-21.pdf,general
,,col_19,col_19,190.0,del-08-11-21-al-12-11-21.pdf,general
,,col_22,col_22,194.0,del-08-11-21-al-12-11-21.pdf,general
,,col_4,col_4,202.0,del-08-11-21-al-12-11-21.pdf,general
,,col_7,col_7,198.0,del-08-11-21-al-12-11-21.pdf,general
,,col_10,col_10,201.0,del-08-11-21-al-12-11-21.pdf,general
,,col_13,col_13,200.0,del-08-11-21-al-12-11-21.pdf,general
,,col_16,col_16,196.0,del-08-11-21-al-12-11-21.pdf,general
,,col_19,col_19,203.0,del-08-11-21-al-12-11-21.pdf,general
,,col_22,col_22,198.0,del-08-11-21-al-12-11-21.pdf,general
,,col_4,col_4,188.0,del-08-11-21-al-12-11-21.pdf,general
,,col_7,col_7,185.0,del-08-11-21-al-12-11-21.pdf,general
,,col_10,col_10,187.0,del-08-11-21-al-12-11-21.pdf,general
,,col_13,col_13,185.0,del-08-11-21-al-12-11-21.pdf,general
,,col_16,col_16,193.0,del-08-11-21-al-12-11-21.pdf,general
,,col_19,col_19,196.0,del-08-11-21-al-12-11-21.pdf,general
,,col_22,col_22,190.0,del-08-11-21-al-12-11-21.pdf,general
,,col_4,col_4,173.0,del-08-11-21-al-12-11-21.pdf,general
,,col_7,col_7,168.0,del-08-11-21-al-12-11-21.pdf,general
,,col_10,col_10,170.0,del-08-11-21-al-12-11-21.pdf,general
,,col_13,col_13,167.0,del-08-11-21-al-12-11-21.pdf,general
,,col_16,col_16,169.0,del-08-11-21-al-12-11-21.pdf,general
,,col_19,col_19,165.0,del-08-11-21-al-12-11-21.pdf,general
,,col_22,col_22,168.0,del-08-11-21-al-12-11-21.pdf,general
,,col_4,col_4,165.0,del-08-11-21-al-12-11-21.pdf,general
,,col_7,col_7,160.0,del-08-11-21-al-12-11-21.pdf,general
,,col_10,col_10,163.0,del-08-11-21-al-12-11-21.pdf,general
,,col_13,col_13,158.0,del-08-11-21-al-12-11-21.pdf,general
,,col_16,col_16,160.0,del-08-11-21-al-12-11-21.pdf,general
,,col_19,col_19,162.0,del-08-11-21-al-12-11-21.pdf,general
,,col_22,col_22,160.0,del-08-11-21-al-12-11-21.pdf,general
,,col_4,col_4,176.0,del-08-11-21-al-12-11-21.pdf,general
,,col_7,col_7,170.0,del-08-11-21-al-12-11-21.pdf,general
,,col_10,col_10,175.0,del-08-11-21-al-12-11-21.pdf,general
,,col_13,col_13,175.0,del-08-11-21-al-12-11-21.pdf,general
,,col_16,col_16,175.0,del-08-11-21-al-12-11-21.pdf,general
,,col_19,col_19,170.0,del-08-11-21-al-12-11-21.pdf,general
,,col_22,col_22,172.0,del-08-11-21-al-12-11-21.pdf,general
,,col_4,col_4,168.0,del-08-11-21-al-12-11-21.pdf,general
,,col_7,col_7,165.0,del-08-11-21-al-12-11-21.pdf,general
,,col_10,col_10,165.0,del-08-11-21-al-12-11-21.pdf,general
,,col_13,col_13,165.0,del-08-11-21-al-12-11-21.pdf,general
,,col_16,col_16,167.0,del-08-11-21-al-12-11-21.pdf,general
,,col_19,col_19,167.0,del-08-11-21-al-12-11-21.pdf,general
,,col_22,col_22,160.0,del-08-11-21-al-12-11-21.pdf,general
,,col_4,col_4,205.0,del-08-11-21-al-12-11-21.pdf,general
,,col_7,col_7,200.0,del-08-11-21-al-12-11-21.pdf,general
,,col_10,col_10,195.0,del-08-11-21-al-12-11-21.pdf,general
,,col_13,col_13,195.0,del-08-11-21-al-12-11-21.pdf,general
,,col_16,col_16,195.0,del-08-11-21-al-12-11-21.pdf,general
,,col_19,col_19,200.0,del-08-11-21-al-12-11-21.pdf,general
,,col_22,col_22,198.0,del-08-11-21-al-12-11-21.pdf,general
,,col_4,col_4,160.0,del-08-11-21-al-12-11-21.pdf,general
,,col_7,col_7,175.0,del-08-11-21-al-12-11-21.pdf,general
,,col_10,col_10,170.0,del-08-11-21-al-12-11-21.pdf,general
,,col_13,col_13,165.0,del-08-11-21-al-12-11-21.pdf,general
,,col_16,col_16,175.0,del-08-11-21-al-12-11-21.pdf,general
,,col_19,col_19,185.0,del-08-11-21-al-12-11-21.pdf,general
,,col_22,col_22,185.0,del-08-11-21-al-12-11-21.pdf,general
,,col_4,col_4,210.0,del-08-11-21-al-12-11-21.pdf,general
,,col_7,col_7,206.0,del-08-11-21-al-12-11-21.pdf,general
,,col_10,col_10,198.0,del-08-11-21-al-12-11-21.pdf,general
,,col_13,col_13,190.0,del-08-11-21-al-12-11-21.pdf,general
,,col_16,col_16,198.0,del-08-11-21-al-12-11-21.pdf,general
