fecha_desde,fecha_hasta,lugar,categoria,precio,fuente_pdf
01/10/2018,05/10/2018,AZUERO,MEDIA CEBA CRUZADO DE LECHE,1.6,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,AZUERO,MEDIA CEBA DE CARNE,2.1,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,AZUERO,NOVILLA CRUZADA DE LECHE,1.6,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,AZUERO,NOVILLA DE CARNE,1.7,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,AZUERO,NOVILLO CRUZADO DE LECHE,1.8,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,AZUERO,NOVILLO DE CARNE,1.95,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,AZUERO,NOVILLO PARA TERMINAR CRUZADO DE LECHE,1.8,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,AZUERO,NOVILLO PARA TERMINAR DE CARNE,1.9,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,AZUERO,TERNERA CRUZADA DE LECHE,1.4,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,AZUERO,TERNERA DE CARNE,1.4,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,AZUERO,TERNERO CRUZADO DE LECHE,1.25,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,AZUERO,TERNERO DE CARNE,2.15,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,AZUERO,TORO CRUZADO DE LECHE,1.85,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,AZUERO,TORO DE CARNE,2.05,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,AZUERO,VACA CRUZADA DE LECHE,1.55,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,AZUERO,VACA CRUZADA DE LECHE PARA CEBA,1.45,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,AZUERO,VACA DE CARNE,1.75,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,AZUERO,VACA DE CARNE PARA CEBA,1.6,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,BAGALA,MEDIA CEBA CRUZADO DE LECHE,1.73,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,BAGALA,MEDIA CEBA DE CARNE,2.25,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,BAGALA,NOVILLA CRUZADA DE LECHE,1.45,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,BAGALA,NOVILLO PARA TERMINAR CRUZADO DE LECHE,1.7,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,BAGALA,NOVILLO PARA TERMINAR DE CARNE,1.95,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,BAGALA,TERNERA CRUZADA DE LECHE,1.3,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,BAGALA,TERNERA DE CARNE,1.48,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,BAGALA,VACA CRUZADA DE LECHE PARA CEBA,1.1,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,CHEPO,MEDIA CEBA DE CARNE,2.1,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,CHEPO,NOVILLA CRUZADA DE LECHE,1.45,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,CHEPO,NOVILLA DE CARNE,1.7,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,CHEPO,NOVILLO DE CARNE,1.93,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,CHEPO,NOVILLO PARA TERMINAR DE CARNE,1.98,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,CHEPO,TERNERA DE CARNE,1.4,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,CHEPO,TERNERO CRUZADO DE LECHE,1.15,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,CHEPO,TERNERO DE CARNE,2.1,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,CHEPO,TORO DE CARNE,1.9,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,CHEPO,VACA CRUZADA DE LECHE,1.4,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,CHEPO,VACA CRUZADA DE LECHE PARA CEBA,1.1,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,CHEPO,VACA DE CARNE,1.65,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,CHEPO,VACA DE CARNE PARA CEBA,1.55,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,MEDIA CEBA CRUZADO DE LECHE,1.7,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,MEDIA CEBA DE CARNE,2.05,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,NOVILLA CRUZADA DE LECHE,1.48,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,NOVILLA DE CARNE,1.7,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,NOVILLO CRUZADO DE LECHE,1.8,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,NOVILLO DE CARNE,1.96,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,NOVILLO PARA TERMINAR CRUZADO DE LECHE,1.8,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,NOVILLO PARA TERMINAR DE CARNE,1.95,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,TERNERA CRUZADA DE LECHE,1.4,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,TERNERA DE CARNE,1.5,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,TERNERO CRUZADO DE LECHE,1.55,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,TERNERO DE CARNE,2.1,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,TORO CRUZADO DE LECHE,1.85,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,TORO DE CARNE,1.98,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,VACA CRUZADA DE LECHE,1.4,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,VACA CRUZADA DE LECHE PARA CEBA,1.4,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,VACA DE CARNE,1.65,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,VACA DE CARNE PARA CEBA,1.5,del-01-10-18-al-05-10-18.pdf
